port,product,pol,date,role,objects
Sydney Botany,S1A_IW_GRDH_1SDV_20250918T190752_20250918T190817_061046_079B83_BFBC,VV,2025-09-18,eval,93
Sydney Botany,S1A_IW_GRDH_1SDV_20250930T190752_20250930T190817_061221_07A294_DB4F,VV,2025-09-30,eval,91
Sydney Botany,S1A_IW_GRDH_1SDV_20251012T190752_20251012T190817_061396_07A99C_7947,VV,2025-10-12,eval,56
Sydney Botany,S1A_IW_GRDH_1SDV_20251024T190752_20251024T190817_061571_07B0A2_E5D2,VV,2025-10-24,eval,170
Sydney Botany,S1A_IW_GRDH_1SDV_20251105T190752_20251105T190817_061746_07B792_3E36,VV,2025-11-05,eval,105
Sydney Botany,S1A_IW_GRDH_1SDV_20251117T190751_20251117T190816_061921_07BE5B_1974,VV,2025-11-17,eval,78
Sydney Botany,S1A_IW_GRDH_1SDV_20251129T190750_20251129T190815_062096_07C52D_C156,VV,2025-11-29,eval,111
Sydney Botany,S1A_IW_GRDH_1SDV_20251211T190749_20251211T190814_062271_07CC01_6A6B,VV,2025-12-11,eval,82
Sydney Botany,S1A_IW_GRDH_1SDV_20251223T190747_20251223T190812_062446_07D2D3_0484,VV,2025-12-23,eval,93
Tanger Med,S1A_IW_GRDH_1SDV_20251223T181816_20251223T181841_062446_07D2CE_C333,VH,2025-12-23,adapt,179
Tanger Med,S1A_IW_GRDH_1SDV_20251223T181816_20251223T181841_062446_07D2CE_C333,VV,2025-12-23,adapt,301
